Step mapping:
  003029: 0.2 → 0.05
  300540: 0.2 → 0.05
  600975: 0.05 → 0.02
  000025: 0.1 → 0.02
  603551: 0.1 → 0.02
  601949: 0.05 → 0.02
  002462: 0.1 → 0.02
  300388: 0.05 → 0.02
  002609: 0.05 → 0.02
  进度: 15500/84255 (18.4%), 步长=0.05, 当前最优: B=15.67 S=36.07 ret=129.72% score=59.67
  进度: 16000/84255 (19.0%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 16500/84255 (19.6%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 17000/84255 (20.2%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 17500/84255 (20.8%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 18000/84255 (21.4%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 18500/84255 (22.0%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 19000/84255 (22.6%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 19500/84255 (23.1%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 20000/84255 (23.7%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 20500/84255 (24.3%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 21000/84255 (24.9%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 21500/84255 (25.5%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 22000/84255 (26.1%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 22500/84255 (26.7%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 23000/84255 (27.3%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 23500/84255 (27.9%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 24000/84255 (28.5%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 24500/84255 (29.1%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 25000/84255 (29.7%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 25500/84255 (30.3%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 26000/84255 (30.9%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 26500/84255 (31.5%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 27000/84255 (32.0%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 27500/84255 (32.6%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 28000/84255 (33.2%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 28500/84255 (33.8%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 29000/84255 (34.4%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 29500/84255 (35.0%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
  进度: 30000/84255 (35.6%), 步长=0.05, 当前最优: B=17.62 S=29.47 ret=133.82% score=69.59
